"","ABA.test.Producto","NO","SI"
"86","EQUIPO CONTRATISTA",100,0
"87","EQUIPO CONTRATISTA",100,0
"88","EQUIPO CONTRATISTA",100,0
"89","EQUIPO CONTRATISTA",100,0
"90","EQUIPO CONTRATISTA",100,0
"91","EQUIPO CONTRATISTA",100,0
"92","EQUIPO CONTRATISTA",100,0
"93","EQUIPO CONTRATISTA",100,0
"94","EQUIPO CONTRATISTA",100,0
"95","EQUIPO CONTRATISTA",100,0
"96","EQUIPO CONTRATISTA",100,0
"97","EQUIPO CONTRATISTA",100,0
"98","EQUIPO CONTRATISTA",100,0
"99","EQUIPO CONTRATISTA",100,0
"100","EQUIPO CONTRATISTA",100,0
"101","EQUIPO CONTRATISTA",100,0
"102","EQUIPO CONTRATISTA",100,0
"103","EQUIPO CONTRATISTA",100,0
"104","EQUIPO CONTRATISTA",100,0
"105","EQUIPO CONTRATISTA",100,0
"106","EQUIPO CONTRATISTA",100,0
"107","EQUIPO CONTRATISTA",100,0
"108","EQUIPO CONTRATISTA",100,0
"109","EQUIPO CONTRATISTA",100,0
"110","EQUIPO CONTRATISTA",100,0
"111","EQUIPO CONTRATISTA",100,0
"112","EQUIPO CONTRATISTA",100,0
"113","EQUIPO CONTRATISTA",100,0
"114","EQUIPO CONTRATISTA",100,0
"115","EQUIPO CONTRATISTA",100,0
"116","EQUIPO CONTRATISTA",100,0
"117","EQUIPO CONTRATISTA",100,0
"118","EQUIPO CONTRATISTA",100,0
"119","EQUIPO CONTRATISTA",100,0
"120","EQUIPO CONTRATISTA",100,0
"121","EQUIPO CONTRATISTA",100,0
"122","EQUIPO CONTRATISTA",100,0
"123","EQUIPO CONTRATISTA",100,0
"124","EQUIPO CONTRATISTA",100,0
"125","EQUIPO CONTRATISTA",100,0
"126","EQUIPO CONTRATISTA",100,0
"127","EQUIPO CONTRATISTA",100,0
"128","EQUIPO CONTRATISTA",100,0
"129","EQUIPO CONTRATISTA",100,0
"130","EQUIPO CONTRATISTA",100,0
"131","EQUIPO CONTRATISTA",100,0
"132","EQUIPO CONTRATISTA",100,0
"133","EQUIPO CONTRATISTA",100,0
"134","EQUIPO CONTRATISTA",100,0
"135","EQUIPO CONTRATISTA",100,0
"136","EQUIPO CONTRATISTA",100,0
"137","EQUIPO CONTRATISTA",100,0
"138","EQUIPO CONTRATISTA",100,0
"139","EQUIPO CONTRATISTA",100,0
"140","EQUIPO CONTRATISTA",100,0
"141","EQUIPO CONTRATISTA",100,0
"142","EQUIPO CONTRATISTA",100,0
"143","EQUIPO CONTRATISTA",100,0
"144","EQUIPO CONTRATISTA",100,0
"145","EQUIPO CONTRATISTA",100,0
"146","EQUIPO CONTRATISTA",100,0
"147","EQUIPO CONTRATISTA",100,0
"148","EQUIPO CONTRATISTA",100,0
"149","EQUIPO CONTRATISTA",100,0
"150","EQUIPO CONTRATISTA",100,0
"151","EQUIPO CONTRATISTA",100,0
"152","EQUIPO CONTRATISTA",100,0
"153","EQUIPO CONTRATISTA",100,0
"154","EQUIPO CONTRATISTA",100,0
"155","EQUIPO CONTRATISTA",100,0
"156","EQUIPO CONTRATISTA",100,0
"157","EQUIPO CONTRATISTA",100,0
"158","EQUIPO CONTRATISTA",100,0
"159","EQUIPO CONTRATISTA",100,0
"160","EQUIPO CONTRATISTA",100,0
"161","EQUIPO CONTRATISTA",100,0
"162","EQUIPO CONTRATISTA",100,0
"163","EQUIPO CONTRATISTA",100,0
"164","EQUIPO CONTRATISTA",100,0
"165","EQUIPO CONTRATISTA",100,0
"166","EQUIPO CONTRATISTA",100,0
"167","EQUIPO CONTRATISTA",100,0
"168","EQUIPO CONTRATISTA",100,0
"169","EQUIPO CONTRATISTA",100,0
"170","EQUIPO CONTRATISTA",100,0
"171","EQUIPO CONTRATISTA",100,0
"172","EQUIPO CONTRATISTA",100,0
"173","EQUIPO CONTRATISTA",100,0
"174","EQUIPO CONTRATISTA",100,0
"175","EQUIPO CONTRATISTA",100,0
"176","EQUIPO CONTRATISTA",100,0
"177","EQUIPO CONTRATISTA",100,0
"178","EQUIPO CONTRATISTA",100,0
"179","EQUIPO CONTRATISTA",100,0
"180","EQUIPO CONTRATISTA",100,0
"181","EQUIPO CONTRATISTA",100,0
"182","EQUIPO CONTRATISTA",100,0
"183","EQUIPO CONTRATISTA",100,0
"184","EQUIPO CONTRATISTA",100,0
"185","EQUIPO CONTRATISTA",100,0
"186","EQUIPO CONTRATISTA",100,0
"187","EQUIPO CONTRATISTA",100,0
"188","EQUIPO CONTRATISTA",100,0
"189","EQUIPO CONTRATISTA",100,0
"190","EQUIPO CONTRATISTA",100,0
"191","EQUIPO CONTRATISTA",100,0
"192","EQUIPO CONTRATISTA",100,0
"193","EQUIPO CONTRATISTA",100,0
"194","EQUIPO CONTRATISTA",100,0
"195","EQUIPO CONTRATISTA",100,0
"196","EQUIPO CONTRATISTA",100,0
"197","EQUIPO CONTRATISTA",100,0
"198","EQUIPO CONTRATISTA",100,0
"199","EQUIPO CONTRATISTA",100,0
"200","EQUIPO CONTRATISTA",100,0
"201","EQUIPO CONTRATISTA",100,0
"202","EQUIPO CONTRATISTA",100,0
"203","EQUIPO CONTRATISTA",100,0
"204","EQUIPO CONTRATISTA",100,0
"205","EQUIPO CONTRATISTA",100,0
"206","EQUIPO CONTRATISTA",100,0
"207","EQUIPO CONTRATISTA",100,0
"208","EQUIPO CONTRATISTA",100,0
"209","EQUIPO CONTRATISTA",100,0
"210","EQUIPO CONTRATISTA",100,0
"211","EQUIPO CONTRATISTA",100,0
"212","EQUIPO CONTRATISTA",100,0
"213","EQUIPO CONTRATISTA",100,0
"214","EQUIPO CONTRATISTA",100,0
"215","EQUIPO CONTRATISTA",100,0
"216","EQUIPO CONTRATISTA",100,0
"217","EQUIPO CONTRATISTA",100,0
"218","EQUIPO CONTRATISTA",100,0
"219","EQUIPO CONTRATISTA",100,0
"220","EQUIPO CONTRATISTA",100,0
"221","EQUIPO CONTRATISTA",100,0
"222","EQUIPO CONTRATISTA",100,0
"223","EQUIPO CONTRATISTA",100,0
"224","EQUIPO CONTRATISTA",100,0
"225","EQUIPO CONTRATISTA",100,0
"226","EQUIPO CONTRATISTA",100,0
"227","EQUIPO CONTRATISTA",100,0
"228","EQUIPO CONTRATISTA",100,0
"229","EQUIPO CONTRATISTA",100,0
"230","EQUIPO CONTRATISTA",100,0
"231","EQUIPO CONTRATISTA",100,0
"232","EQUIPO CONTRATISTA",100,0
"233","EQUIPO CONTRATISTA",100,0
"234","EQUIPO CONTRATISTA",100,0
"235","EQUIPO CONTRATISTA",100,0
"236","EQUIPO CONTRATISTA",100,0
"237","EQUIPO CONTRATISTA",100,0
"238","EQUIPO CONTRATISTA",100,0
"239","EQUIPO CONTRATISTA",100,0
"240","EQUIPO CONTRATISTA",100,0
"241","EQUIPO CONTRATISTA",100,0
"242","EQUIPO CONTRATISTA",100,0
"243","EQUIPO CONTRATISTA",100,0
"244","EQUIPO CONTRATISTA",100,0
"245","EQUIPO CONTRATISTA",100,0
"246","EQUIPO CONTRATISTA",100,0
"247","EQUIPO CONTRATISTA",100,0
"248","EQUIPO CONTRATISTA",100,0
"249","EQUIPO CONTRATISTA",100,0
"250","EQUIPO CONTRATISTA",100,0
"251","EQUIPO CONTRATISTA",100,0
"252","EQUIPO CONTRATISTA",100,0
"253","EQUIPO CONTRATISTA",100,0
"254","EQUIPO CONTRATISTA",100,0
"255","EQUIPO CONTRATISTA",100,0
"256","EQUIPO CONTRATISTA",100,0
"257","EQUIPO CONTRATISTA",100,0
"258","EQUIPO CONTRATISTA",100,0
"259","EQUIPO CONTRATISTA",100,0
"260","EQUIPO CONTRATISTA",100,0
"261","EQUIPO CONTRATISTA",100,0
"262","EQUIPO CONTRATISTA",100,0
"263","EQUIPO CONTRATISTA",100,0
"264","EQUIPO CONTRATISTA",100,0
"265","EQUIPO CONTRATISTA",100,0
"266","EQUIPO CONTRATISTA",100,0
"267","EQUIPO CONTRATISTA",100,0
"268","EQUIPO CONTRATISTA",100,0
"269","EQUIPO CONTRATISTA",100,0
"270","EQUIPO CONTRATISTA",100,0
"271","EQUIPO CONTRATISTA",100,0
"272","EQUIPO CONTRATISTA",100,0
"273","EQUIPO CONTRATISTA",100,0
"274","EQUIPO CONTRATISTA",100,0
"275","EQUIPO CONTRATISTA",100,0
"276","EQUIPO CONTRATISTA",100,0
"277","EQUIPO CONTRATISTA",100,0
"278","EQUIPO CONTRATISTA",100,0
"279","EQUIPO CONTRATISTA",100,0
"280","EQUIPO CONTRATISTA",100,0
"281","EQUIPO CONTRATISTA",100,0
"282","EQUIPO CONTRATISTA",100,0
"283","EQUIPO CONTRATISTA",100,0
"284","EQUIPO CONTRATISTA",100,0
"285","EQUIPO CONTRATISTA",100,0
"286","EQUIPO CONTRATISTA",100,0
"287","EQUIPO CONTRATISTA",100,0
"288","EQUIPO CONTRATISTA",100,0
"289","EQUIPO CONTRATISTA",100,0
"290","EQUIPO CONTRATISTA",100,0
"291","EQUIPO CONTRATISTA",100,0
"292","EQUIPO CONTRATISTA",100,0
"293","EQUIPO CONTRATISTA",100,0
"294","EQUIPO CONTRATISTA",100,0
"295","EQUIPO CONTRATISTA",100,0
"296","EQUIPO CONTRATISTA",100,0
"297","EQUIPO CONTRATISTA",100,0
"298","EQUIPO CONTRATISTA",100,0
"299","EQUIPO CONTRATISTA",100,0
"300","EQUIPO CONTRATISTA",100,0
"301","EQUIPO CONTRATISTA",100,0
"302","EQUIPO CONTRATISTA",100,0
"303","EQUIPO CONTRATISTA",100,0
"304","EQUIPO CONTRATISTA",100,0
"305","EQUIPO CONTRATISTA",100,0
"306","EQUIPO CONTRATISTA",100,0
"307","EQUIPO CONTRATISTA",100,0
"308","EQUIPO CONTRATISTA",100,0
"309","EQUIPO CONTRATISTA",100,0
"310","EQUIPO CONTRATISTA",100,0
"311","EQUIPO CONTRATISTA",100,0
"312","EQUIPO CONTRATISTA",100,0
"313","EQUIPO CONTRATISTA",100,0
"314","EQUIPO CONTRATISTA",100,0
"315","EQUIPO CONTRATISTA",100,0
"316","EQUIPO CONTRATISTA",100,0
"317","EQUIPO CONTRATISTA",100,0
"318","EQUIPO CONTRATISTA",100,0
"319","EQUIPO CONTRATISTA",100,0
"320","EQUIPO CONTRATISTA",100,0
"321","EQUIPO CONTRATISTA",100,0
"322","EQUIPO CONTRATISTA",100,0
"323","EQUIPO CONTRATISTA",100,0
"324","EQUIPO CONTRATISTA",100,0
"325","EQUIPO CONTRATISTA",100,0
"326","EQUIPO CONTRATISTA",100,0
"327","EQUIPO CONTRATISTA",100,0
"328","EQUIPO CONTRATISTA",100,0
"329","EQUIPO CONTRATISTA",100,0
"330","EQUIPO CONTRATISTA",100,0
"331","EQUIPO CONTRATISTA",100,0
"332","EQUIPO CONTRATISTA",100,0
"333","EQUIPO CONTRATISTA",100,0
"334","EQUIPO CONTRATISTA",100,0
"335","EQUIPO CONTRATISTA",100,0
"336","EQUIPO CONTRATISTA",100,0
"337","EQUIPO CONTRATISTA",100,0
"338","EQUIPO CONTRATISTA",100,0
"339","EQUIPO CONTRATISTA",100,0
"340","EQUIPO CONTRATISTA",100,0
"341","EQUIPO CONTRATISTA",100,0
"342","EQUIPO CONTRATISTA",100,0
"343","EQUIPO CONTRATISTA",100,0
"344","EQUIPO CONTRATISTA",100,0
"345","EQUIPO CONTRATISTA",100,0
"346","EQUIPO CONTRATISTA",100,0
"347","EQUIPO CONTRATISTA",100,0
"348","EQUIPO CONTRATISTA",100,0
"349","EQUIPO CONTRATISTA",100,0
"350","EQUIPO CONTRATISTA",100,0
"351","EQUIPO CONTRATISTA",100,0
"352","EQUIPO CONTRATISTA",100,0
"353","EQUIPO CONTRATISTA",100,0
"354","EQUIPO CONTRATISTA",100,0
"355","EQUIPO CONTRATISTA",100,0
"356","EQUIPO CONTRATISTA",100,0
"357","EQUIPO CONTRATISTA",100,0
"358","EQUIPO CONTRATISTA",100,0
"359","EQUIPO CONTRATISTA",100,0
"360","EQUIPO CONTRATISTA",100,0
"361","EQUIPO CONTRATISTA",100,0
"362","EQUIPO CONTRATISTA",100,0
"363","EQUIPO CONTRATISTA",100,0
"364","EQUIPO CONTRATISTA",100,0
"365","EQUIPO CONTRATISTA",100,0
"366","EQUIPO CONTRATISTA",100,0
"367","EQUIPO CONTRATISTA",100,0
"368","EQUIPO CONTRATISTA",100,0
"369","EQUIPO CONTRATISTA",100,0
"370","EQUIPO CONTRATISTA",100,0
"371","EQUIPO CONTRATISTA",100,0
"372","EQUIPO CONTRATISTA",100,0
"373","EQUIPO CONTRATISTA",100,0
"374","EQUIPO CONTRATISTA",100,0
"375","EQUIPO CONTRATISTA",100,0
"376","EQUIPO CONTRATISTA",100,0
"377","EQUIPO CONTRATISTA",100,0
"378","EQUIPO CONTRATISTA",100,0
"379","EQUIPO CONTRATISTA",100,0
"380","EQUIPO CONTRATISTA",100,0
"381","EQUIPO CONTRATISTA",100,0
"382","EQUIPO CONTRATISTA",100,0
"383","EQUIPO CONTRATISTA",100,0
"384","EQUIPO CONTRATISTA",100,0
"385","EQUIPO CONTRATISTA",100,0
"386","EQUIPO CONTRATISTA",100,0
"387","EQUIPO CONTRATISTA",100,0
"388","EQUIPO CONTRATISTA",100,0
"389","EQUIPO CONTRATISTA",100,0
"390","EQUIPO CONTRATISTA",100,0
"391","EQUIPO CONTRATISTA",100,0
"392","EQUIPO CONTRATISTA",100,0
"393","EQUIPO CONTRATISTA",100,0
"394","EQUIPO CONTRATISTA",100,0
"395","EQUIPO CONTRATISTA",100,0
"396","EQUIPO CONTRATISTA",100,0
"397","EQUIPO CONTRATISTA",100,0
"398","EQUIPO CONTRATISTA",100,0
"399","EQUIPO CONTRATISTA",100,0
"400","EQUIPO CONTRATISTA",100,0
"401","EQUIPO CONTRATISTA",100,0
"402","EQUIPO CONTRATISTA",100,0
"403","EQUIPO CONTRATISTA",100,0
"404","EQUIPO CONTRATISTA",100,0
"405","EQUIPO CONTRATISTA",100,0
"406","EQUIPO CONTRATISTA",100,0
"407","EQUIPO CONTRATISTA",100,0
"408","EQUIPO CONTRATISTA",100,0
"409","EQUIPO CONTRATISTA",100,0
"410","EQUIPO CONTRATISTA",100,0
"411","EQUIPO CONTRATISTA",100,0
"412","EQUIPO CONTRATISTA",100,0
"413","EQUIPO CONTRATISTA",100,0
"414","EQUIPO CONTRATISTA",100,0
"415","EQUIPO CONTRATISTA",100,0
"416","EQUIPO CONTRATISTA",100,0
"417","EQUIPO CONTRATISTA",100,0
"418","EQUIPO CONTRATISTA",100,0
"419","EQUIPO CONTRATISTA",100,0
"420","EQUIPO CONTRATISTA",100,0
"421","EQUIPO CONTRATISTA",100,0
"422","EQUIPO CONTRATISTA",100,0
"423","EQUIPO CONTRATISTA",100,0
"424","EQUIPO CONTRATISTA",100,0
"425","EQUIPO CONTRATISTA",100,0
"426","EQUIPO CONTRATISTA",100,0
"427","EQUIPO CONTRATISTA",100,0
"428","EQUIPO CONTRATISTA",100,0
"429","EQUIPO CONTRATISTA",100,0
"430","EQUIPO CONTRATISTA",100,0
"431","EQUIPO CONTRATISTA",100,0
"432","EQUIPO CONTRATISTA",100,0
"433","EQUIPO CONTRATISTA",100,0
"434","EQUIPO CONTRATISTA",100,0
"435","EQUIPO CONTRATISTA",100,0
"436","EQUIPO CONTRATISTA",100,0
"437","EQUIPO CONTRATISTA",100,0
"438","EQUIPO CONTRATISTA",100,0
"439","EQUIPO CONTRATISTA",100,0
"440","EQUIPO CONTRATISTA",100,0
"441","EQUIPO CONTRATISTA",100,0
"442","EQUIPO CONTRATISTA",100,0
"443","EQUIPO CONTRATISTA",100,0
"444","EQUIPO CONTRATISTA",100,0
"445","EQUIPO CONTRATISTA",100,0
"446","EQUIPO CONTRATISTA",100,0
"447","EQUIPO CONTRATISTA",100,0
"448","EQUIPO CONTRATISTA",100,0
"449","EQUIPO CONTRATISTA",100,0
"450","EQUIPO CONTRATISTA",100,0
"451","EQUIPO CONTRATISTA",100,0
"452","EQUIPO CONTRATISTA",100,0
"453","EQUIPO CONTRATISTA",100,0
"454","EQUIPO CONTRATISTA",100,0
"455","EQUIPO CONTRATISTA",100,0
"456","EQUIPO CONTRATISTA",100,0
"457","EQUIPO CONTRATISTA",100,0
"458","EQUIPO CONTRATISTA",100,0
"459","EQUIPO CONTRATISTA",100,0
"460","EQUIPO CONTRATISTA",100,0
"461","EQUIPO CONTRATISTA",100,0
"462","EQUIPO CONTRATISTA",100,0
"463","EQUIPO CONTRATISTA",100,0
"464","EQUIPO CONTRATISTA",100,0
"465","EQUIPO CONTRATISTA",100,0
"466","EQUIPO CONTRATISTA",100,0
"467","EQUIPO CONTRATISTA",100,0
"468","EQUIPO CONTRATISTA",100,0
"469","EQUIPO CONTRATISTA",100,0
"470","EQUIPO CONTRATISTA",100,0
"471","EQUIPO CONTRATISTA",100,0
"472","EQUIPO CONTRATISTA",100,0
"473","EQUIPO CONTRATISTA",100,0
"474","EQUIPO CONTRATISTA",100,0
"475","EQUIPO CONTRATISTA",100,0
"476","EQUIPO CONTRATISTA",100,0
"477","EQUIPO CONTRATISTA",100,0
"478","EQUIPO CONTRATISTA",100,0
"479","EQUIPO CONTRATISTA",100,0
"480","EQUIPO CONTRATISTA",100,0
"481","EQUIPO CONTRATISTA",100,0
"482","EQUIPO CONTRATISTA",100,0
"483","EQUIPO CONTRATISTA",100,0
"484","EQUIPO CONTRATISTA",100,0
"485","EQUIPO CONTRATISTA",100,0
"486","EQUIPO CONTRATISTA",100,0
"487","EQUIPO CONTRATISTA",100,0
"488","EQUIPO CONTRATISTA",100,0
"489","EQUIPO CONTRATISTA",100,0
"490","EQUIPO CONTRATISTA",100,0
"491","EQUIPO CONTRATISTA",100,0
"492","EQUIPO CONTRATISTA",100,0
"493","EQUIPO CONTRATISTA",100,0
"494","EQUIPO CONTRATISTA",100,0
"495","EQUIPO CONTRATISTA",100,0
"496","EQUIPO CONTRATISTA",100,0
"497","EQUIPO CONTRATISTA",100,0
"498","EQUIPO CONTRATISTA",100,0
"499","EQUIPO CONTRATISTA",100,0
"500","EQUIPO CONTRATISTA",100,0
"501","EQUIPO CONTRATISTA",100,0
"502","EQUIPO CONTRATISTA",100,0
"503","EQUIPO CONTRATISTA",100,0
"504","EQUIPO CONTRATISTA",100,0
"505","EQUIPO CONTRATISTA",100,0
"506","EQUIPO CONTRATISTA",100,0
"507","EQUIPO CONTRATISTA",100,0
"508","EQUIPO CONTRATISTA",100,0
"509","EQUIPO CONTRATISTA",100,0
"510","EQUIPO CONTRATISTA",100,0
"511","EQUIPO CONTRATISTA",100,0
"512","EQUIPO CONTRATISTA",100,0
"513","EQUIPO CONTRATISTA",100,0
"514","EQUIPO CONTRATISTA",100,0
"515","EQUIPO CONTRATISTA",100,0
"516","EQUIPO CONTRATISTA",100,0
"517","EQUIPO CONTRATISTA",100,0
"518","EQUIPO CONTRATISTA",100,0
"519","EQUIPO CONTRATISTA",100,0
"520","EQUIPO CONTRATISTA",100,0
"521","EQUIPO CONTRATISTA",100,0
"522","EQUIPO CONTRATISTA",100,0
"523","EQUIPO CONTRATISTA",100,0
"524","EQUIPO CONTRATISTA",100,0
"525","EQUIPO CONTRATISTA",100,0
"526","EQUIPO CONTRATISTA",100,0
"527","EQUIPO CONTRATISTA",100,0
"528","EQUIPO CONTRATISTA",100,0
"529","EQUIPO CONTRATISTA",100,0
"530","EQUIPO CONTRATISTA",100,0
"531","EQUIPO CONTRATISTA",100,0
"532","EQUIPO CONTRATISTA",100,0
"533","EQUIPO CONTRATISTA",100,0
"534","EQUIPO CONTRATISTA",100,0
"535","EQUIPO CONTRATISTA",100,0
"536","EQUIPO CONTRATISTA",100,0
"537","EQUIPO CONTRATISTA",100,0
"538","EQUIPO CONTRATISTA",100,0
"539","EQUIPO CONTRATISTA",100,0
"540","EQUIPO CONTRATISTA",100,0
"541","EQUIPO CONTRATISTA",100,0
"542","EQUIPO CONTRATISTA",100,0
"543","EQUIPO CONTRATISTA",100,0
"544","EQUIPO CONTRATISTA",100,0
"545","EQUIPO CONTRATISTA",100,0
"546","EQUIPO CONTRATISTA",100,0
"547","EQUIPO CONTRATISTA",100,0
"548","EQUIPO CONTRATISTA",100,0
"549","EQUIPO CONTRATISTA",100,0
"550","EQUIPO CONTRATISTA",100,0
"551","EQUIPO CONTRATISTA",100,0
"552","EQUIPO CONTRATISTA",100,0
"553","EQUIPO CONTRATISTA",100,0
"554","EQUIPO CONTRATISTA",100,0
"555","EQUIPO CONTRATISTA",100,0
"556","EQUIPO CONTRATISTA",100,0
"557","EQUIPO CONTRATISTA",100,0
"558","EQUIPO CONTRATISTA",100,0
"559","EQUIPO CONTRATISTA",100,0
"560","EQUIPO CONTRATISTA",100,0
"561","EQUIPO CONTRATISTA",100,0
"562","EQUIPO CONTRATISTA",100,0
"563","EQUIPO CONTRATISTA",100,0
"564","EQUIPO CONTRATISTA",100,0
"565","EQUIPO CONTRATISTA",100,0
"566","EQUIPO CONTRATISTA",100,0
"567","EQUIPO CONTRATISTA",100,0
"568","EQUIPO CONTRATISTA",100,0
"569","EQUIPO CONTRATISTA",100,0
"570","EQUIPO CONTRATISTA",100,0
"571","EQUIPO CONTRATISTA",100,0
"572","EQUIPO CONTRATISTA",100,0
"573","EQUIPO CONTRATISTA",100,0
"574","EQUIPO CONTRATISTA",100,0
"575","EQUIPO CONTRATISTA",100,0
"576","EQUIPO CONTRATISTA",100,0
"577","EQUIPO CONTRATISTA",100,0
"578","EQUIPO CONTRATISTA",100,0
"579","EQUIPO CONTRATISTA",100,0
"580","EQUIPO CONTRATISTA",100,0
"581","EQUIPO CONTRATISTA",100,0
"582","EQUIPO CONTRATISTA",100,0
"583","EQUIPO CONTRATISTA",100,0
"584","EQUIPO CONTRATISTA",100,0
"585","EQUIPO CONTRATISTA",100,0
"586","EQUIPO CONTRATISTA",100,0
"587","EQUIPO CONTRATISTA",100,0
"588","EQUIPO CONTRATISTA",100,0
"589","EQUIPO CONTRATISTA",100,0
"590","EQUIPO CONTRATISTA",100,0
"591","EQUIPO CONTRATISTA",100,0
"592","EQUIPO CONTRATISTA",100,0
"593","EQUIPO CONTRATISTA",100,0
"594","EQUIPO CONTRATISTA",100,0
"595","EQUIPO CONTRATISTA",100,0
"596","EQUIPO CONTRATISTA",100,0
"597","EQUIPO CONTRATISTA",100,0
"598","EQUIPO CONTRATISTA",100,0
"599","EQUIPO CONTRATISTA",100,0
"600","EQUIPO CONTRATISTA",100,0
"601","EQUIPO CONTRATISTA",100,0
"602","EQUIPO CONTRATISTA",100,0
"603","EQUIPO CONTRATISTA",100,0
"604","EQUIPO CONTRATISTA",100,0
"605","EQUIPO CONTRATISTA",100,0
"606","EQUIPO CONTRATISTA",100,0
"607","EQUIPO CONTRATISTA",100,0
"608","EQUIPO CONTRATISTA",100,0
"609","EQUIPO CONTRATISTA",100,0
"610","EQUIPO CONTRATISTA",100,0
"611","EQUIPO CONTRATISTA",100,0
"612","EQUIPO CONTRATISTA",100,0
"613","EQUIPO CONTRATISTA",100,0
"614","EQUIPO CONTRATISTA",100,0
"615","EQUIPO CONTRATISTA",100,0
"616","EQUIPO CONTRATISTA",100,0
"617","EQUIPO CONTRATISTA",100,0
"618","EQUIPO CONTRATISTA",100,0
"619","EQUIPO CONTRATISTA",100,0
"620","EQUIPO CONTRATISTA",100,0
"621","EQUIPO CONTRATISTA",100,0
"622","EQUIPO CONTRATISTA",100,0
"623","EQUIPO CONTRATISTA",100,0
"624","EQUIPO CONTRATISTA",100,0
"625","EQUIPO CONTRATISTA",100,0
"626","EQUIPO CONTRATISTA",100,0
"627","EQUIPO CONTRATISTA",100,0
"628","EQUIPO CONTRATISTA",100,0
"629","EQUIPO CONTRATISTA",100,0
"630","EQUIPO CONTRATISTA",100,0
"631","EQUIPO CONTRATISTA",100,0
"632","EQUIPO CONTRATISTA",100,0
"633","EQUIPO CONTRATISTA",100,0
"634","EQUIPO CONTRATISTA",100,0
